ExtractID,ExtractDate,ExtractedBy,ExtractType,ExtractKit,SampleID,ExtractConcentration,ExtractBox,ExtractNotes
HDZ-314-E1,6/20/2024,AS,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-314,11,HDZ Loris DNA Extracts Box 3,
HDZ-315-E1,6/20/2024,AS,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-315,39,HDZ Loris DNA Extracts Box 3,
HDZ-227-E1,6/27/2024,ZE,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-227,44,HDZ Loris DNA Extracts Box 3,
HDZ-228-E1,6/27/2024,ZE,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-228,67,HDZ Loris DNA Extracts Box 3,
HDZ-229-E1,6/27/2024,ZE,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-229,96,HDZ Loris DNA Extracts Box 3,
HDZ-320-E1,6/27/2024,AS,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-320,88,HDZ Loris DNA Extracts Box 3,
HDZ-321-E1,6/27/2024,AS,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-321,29,HDZ Loris DNA Extracts Box 3,
HDZ-322-E1,6/27/2024,AS,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-322,1.22,HDZ Loris DNA Extracts Box 3,
HDZ-323-E1,6/28/2024,AS,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-323,34,HDZ Loris DNA Extracts Box 3,
HDZ-324-E1,6/28/2024,AS,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-324,23,HDZ Loris DNA Extracts Box 3,
HDZ-325-E1,6/28/2024,AS,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-325,37,HDZ Loris DNA Extracts Box 3,
HDZ-326-E1,6/28/2024,AS,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-326,37,HDZ Loris DNA Extracts Box 3,
HDZ-327-E1,6/28/2024,AS,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-327,13,HDZ Loris DNA Extracts Box 3,
