SampleID	CollectionDate	Subject	Subj_Certainty	SampleCollectedBy	SampleNotes	n_dna_extractions	n_rna_extractions	n_seq_16s	ExtractID_RNA	ExtractDate_RNA	ExtractedBy_RNA	ExtractKit_RNA	ExtractBox_RNA	ExtractNotes_RNA	ExtractConc_RNA	ExtractID_DNA	ExtractDate_DNA	ExtractedBy_DNA	ExtractKit_DNA	ExtractBox_DNA	ExtractNotes_DNA	ExtractConc_DNA	SequenceID	Seq_16sDate	Pipeline	LibraryTube	LibraryBarcode	LibraryFinalConc	LibraryPoolVol_ul	LibraryCode
HDZ-060	2023-12-15	Culi	yes	HDZ Keepers		1	1	1	HDZ-060-E2	2024-04-10	MB	Quick-DNA/RNA MagBead			NA	HDZ-060-E1	2024-04-08	WJ/MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		35	HDZ-060-S80	2024-06-13	16S	11	16S11	4	1	PL004
HDZ-061	2023-11-30	Warble	yes	HDZ Keepers		1	1	0	HDZ-061-E2	2024-03-05	MB	Quick-DNA/RNA MagBead			NA	HDZ-061-E1	2024-02-29	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		0	NA	NA	NA	NA	NA	NA	NA	NA
HDZ-062	NA	Warble	yes	HDZ Keepers	No stabilizer or date on tube - added stabilizer on 12/13 in the lab (AMR)	1	0	0	NA	NA	NA	NA	NA	NA	NA	HDZ-062-E1	2024-02-29	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		0	NA	NA	NA	NA	NA	NA	NA	NA
HDZ-063	2023-11-24	Culi	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-063-E1	2024-02-25	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		66	HDZ-063-S1	2024-05-16	16S	1	16S1	4	1	PL001
HDZ-064	2023-11-23	Culi	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-064-E1	2024-02-25	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		90	HDZ-064-S2	2024-05-16	16S	2	16S2	3	1	PL001
HDZ-065	2023-12-03	Culi	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-065-E1	2024-02-25	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		27	HDZ-065-S4	2024-05-16	16S	4	16S4	3	1	PL001
HDZ-066	2023-11-30	Culi	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-066-E1	2024-02-25	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		63	HDZ-066-S5	2024-05-16	16S	5	16S5	4	1	PL001
HDZ-067	2023-11-27	Warble	no	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-067-E1	2024-02-25	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		62	HDZ-067-S9	2024-05-16	16S	9	16S9	3	1	PL001
HDZ-068	2023-11-24	Warble	yes	HDZ Keepers		1	1	1	HDZ-068-E2	2024-03-05	MB	Quick-DNA/RNA MagBead			NA	HDZ-068-E1	2024-02-29	WJ, MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	Not sure if these samples were extracted twice, but Missy extracted them on 2/29/24	5	HDZ-068-S26	2024-06-10	16S	3	16S3	5	1	PL002
HDZ-069	2023-11-22	Culi	yes	HDZ Keepers		1	1	1	HDZ-069-E2	2024-01-25	MB	Quick-DNA/RNA MagBead			NA	HDZ-069-E1	2024-01-24	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		69	HDZ-069-S193	2024-08-16	16S	9	16S9	NA	NA	PL009
